"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Tue May 20 19:49:05 CST 2025","Tue May 20 19:49:05 CST 2025","0","test_cases_actuator","test_cases_actuator","TestCase","","","test_查询项目[data0]","查询项目是否存在"
"broken","Tue May 20 19:49:07 CST 2025","Tue May 20 19:49:07 CST 2025","0","test_cases_actuator","test_cases_actuator","TestCase","","","test_新建项目功能验证[data0]","新建项目流程功能"
